[2025-06-24T20:28:15] case_001 | Content Integrity: 96.43%
[2025-06-24T20:28:19] case_002 | Content Integrity: 96.25%
[2025-06-24T20:28:35] case_003 | Content Integrity: 96.56%
[2025-06-24T20:28:38] case_004 | Content Integrity: 96.38%
[2025-06-24T20:28:42] case_005 | Content Integrity: 96.34%
[2025-06-24T20:28:47] case_006 | Content Integrity: 96.41%
[2025-06-24T20:28:51] case_007 | Content Integrity: 96.38%
[2025-06-24T20:28:54] case_008 | Content Integrity: 96.22%
[2025-06-24T20:28:59] case_009 | Content Integrity: 96.46%
[2025-06-24T20:29:03] case_010 | Content Integrity: 96.53%
[2025-06-24T20:29:09] case_011 | Content Integrity: 96.10%
[2025-06-24T20:29:14] case_012 | Content Integrity: 96.40%
[2025-06-24T20:29:19] case_013 | Content Integrity: 96.59%
[2025-06-24T20:29:25] case_014 | Content Integrity: 96.26%
[2025-06-24T20:29:32] case_015 | Content Integrity: 96.03%
[2025-06-24T20:29:35] case_016 | Content Integrity: 96.59%
[2025-06-24T20:29:43] case_017 | Content Integrity: 96.82%
[2025-06-24T20:29:47] case_018 | Content Integrity: 96.26%
[2025-06-24T20:29:54] case_019 | Content Integrity: 96.38%
[2025-06-24T20:30:00] case_020 | Content Integrity: 96.53%
[2025-06-24T20:30:05] case_021 | Content Integrity: 96.29%
[2025-06-24T20:30:13] case_022 | Content Integrity: 96.28%
[2025-06-24T20:30:26] case_023 | Content Integrity: 96.16%
[2025-06-24T20:30:29] case_024 | Content Integrity: 96.64%
[2025-06-24T20:30:34] case_025 | Content Integrity: 96.10%
[2025-06-24T20:30:39] case_026 | Content Integrity: 96.43%
[2025-06-24T20:30:44] case_027 | Content Integrity: 96.63%
[2025-06-24T20:30:47] case_028 | Content Integrity: 96.27%
[2025-06-24T20:30:50] case_029 | Content Integrity: 96.29%
[2025-06-24T20:30:55] case_030 | Content Integrity: 96.41%
[2025-06-24T20:31:00] case_031 | Content Integrity: 96.04%
[2025-06-24T20:31:06] case_032 | Content Integrity: 96.65%
[2025-06-24T20:31:14] case_033 | Content Integrity: 96.49%
[2025-06-24T20:31:18] case_034 | Content Integrity: 96.38%
[2025-06-24T20:31:22] case_035 | Content Integrity: 96.37%
[2025-06-24T20:31:28] case_036 | Content Integrity: 96.38%
[2025-06-24T20:31:32] case_037 | Content Integrity: 96.36%
[2025-06-24T20:31:37] case_038 | Content Integrity: 96.32%
[2025-06-24T20:31:42] case_039 | Content Integrity: 96.31%
[2025-06-24T20:31:46] case_040 | Content Integrity: 96.34%
[2025-06-24T20:31:52] case_041 | Content Integrity: 96.51%
[2025-06-24T20:31:56] case_042 | Content Integrity: 96.31%
[2025-06-24T20:32:04] case_043 | Content Integrity: 96.43%
[2025-06-24T20:32:11] case_044 | Content Integrity: 96.50%
[2025-06-24T20:32:19] case_045 | Content Integrity: 96.52%
[2025-06-24T20:32:23] case_046 | Content Integrity: 96.36%
[2025-06-24T20:32:26] case_047 | Content Integrity: 96.34%
[2025-06-24T20:32:41] case_048 | Content Integrity: 96.43%
[2025-06-24T20:32:46] case_049 | Content Integrity: 96.45%
[2025-06-24T20:32:50] case_050 | Content Integrity: 95.84%
[2025-06-24T20:32:55] case_051 | Content Integrity: 96.27%
[2025-06-24T20:32:58] case_052 | Content Integrity: 96.22%
[2025-06-24T20:33:03] case_053 | Content Integrity: 96.21%
[2025-06-24T20:33:11] case_054 | Content Integrity: 96.57%
[2025-06-24T20:33:15] case_055 | Content Integrity: 96.36%
[2025-06-24T20:33:19] case_056 | Content Integrity: 96.37%
[2025-06-24T20:33:22] case_057 | Content Integrity: 96.47%
[2025-06-24T20:33:31] case_058 | Content Integrity: 96.37%
[2025-06-24T20:33:36] case_059 | Content Integrity: 96.09%
[2025-06-24T20:33:41] case_060 | Content Integrity: 96.32%
[2025-06-24T20:33:52] case_061 | Content Integrity: 96.53%
[2025-06-24T20:33:56] case_062 | Content Integrity: 96.52%
[2025-06-24T20:34:01] case_063 | Content Integrity: 96.41%
[2025-06-24T20:34:05] case_064 | Content Integrity: 96.40%
[2025-06-24T20:34:09] case_065 | Content Integrity: 96.45%
[2025-06-24T20:34:13] case_066 | Content Integrity: 96.30%
[2025-06-24T20:34:17] case_067 | Content Integrity: 96.39%
[2025-06-24T20:34:24] case_068 | Content Integrity: 95.95%
[2025-06-24T20:34:29] case_069 | Content Integrity: 96.46%
[2025-06-24T20:34:38] case_070 | Content Integrity: 96.54%
